"area_id","ID"
"uk.org.publicwhip/cons/632","S14000027DISTRICT"
"uk.org.publicwhip/cons/372","E14000815DISTRICT"
"uk.org.publicwhip/cons/700","S14000039DISTRICT"
"uk.org.publicwhip/cons/2190","E14000709DISTRICT"
"uk.org.publicwhip/cons/53","E14000567DISTRICT"
"uk.org.publicwhip/cons/278","E14000733DISTRICT"
"uk.org.publicwhip/cons/9","W07000043DISTRICT"
"uk.org.publicwhip/cons/602","E14001012DISTRICT"
"uk.org.publicwhip/cons/641","E14001046DISTRICT"
"uk.org.publicwhip/cons/696","S14000035DISTRICT"
"uk.org.publicwhip/cons/433","E14000863DISTRICT"
"uk.org.publicwhip/cons/377","E14000819DISTRICT"
"uk.org.publicwhip/cons/2184","E14000657DISTRICT"
"uk.org.publicwhip/cons/206","E14000686DISTRICT"
"uk.org.publicwhip/cons/93","E14000602DISTRICT"
"uk.org.publicwhip/cons/703","S14000042DISTRICT"
"uk.org.publicwhip/cons/106","S14000009DISTRICT"
"uk.org.publicwhip/cons/34","E14000552DISTRICT"
"uk.org.publicwhip/cons/343","E14000792DISTRICT"
"uk.org.publicwhip/cons/42","E14000557DISTRICT"
"uk.org.publicwhip/cons/275","E14000730DISTRICT"
"uk.org.publicwhip/cons/180","E14000673DISTRICT"
"uk.org.publicwhip/cons/2247","E14001057DISTRICT"
"uk.org.publicwhip/cons/329","E14000779DISTRICT"
"uk.org.publicwhip/cons/62","E14000574DISTRICT"
"uk.org.publicwhip/cons/543","E14000964DISTRICT"
"uk.org.publicwhip/cons/499","E14000918DISTRICT"
"uk.org.publicwhip/cons/2226","E14000917DISTRICT"
"uk.org.publicwhip/cons/619","S14000058DISTRICT"
"uk.org.publicwhip/cons/569","W07000048DISTRICT"
"uk.org.publicwhip/cons/646","E14001051DISTRICT"
"uk.org.publicwhip/cons/94","E14000604DISTRICT"
"uk.org.publicwhip/cons/338","E14000787DISTRICT"
"uk.org.publicwhip/cons/2166","W07000058DISTRICT"
"uk.org.publicwhip/cons/560","E14000978DISTRICT"
